Sale,Discount,coupon,Promotion,Special_offer,Bargain,Deal,Clearance,Flash_sale,Apparel,Electronics,Home_goods,Appliance,Furniture,Beauty_product,Shopping,Shopping_spree,Retail_therapy,Shopping_experience,Impulse_buying,Comparison_shopping,Brand_loyalty,Loyalty_card,Customer_satisfaction,customer_opinion,Payment_options,Credit_card,Cash_transaction,Online_payment,Retail_store,Brick-and-mortar,Store_layout,E-commerce,webshop,Online_shopping,Online_shop,Online_store,Customer_service,Customer_support,Returns_and_exchanges,Holiday_sales,Black_Friday,Cyber_Monday,Sales_events,Clearance_events,Anniversary_sale,Retail,purchase_+_purchasing,acquire,Buy,procure,consume_,Shopping_cart,shopping_bag
41,82,19,65,75,77,37,55,21,59,72,11,60,81,55,70,31,0,16,26,35,68,0,77,29,25,31,3,22,73,23,35,63,0,25,34,50,8,24,37,9,0,0,46,0,1,87,91,55,45,21,18,82,59
42,78,20,69,54,79,41,51,16,57,66,12,57,80,52,66,54,88,0,0,43,22,42,85,87,39,30,5,22,75,33,49,68,0,26,32,45,8,22,42,15,0,0,88,0,3,80,88,61,44,7,24,70,50
42,77,22,65,72,76,39,50,19,52,68,12,66,82,49,66,47,26,12,0,38,42,23,84,50,21,30,0,23,70,27,60,63,0,25,33,45,9,21,31,16,0,0,72,0,4,84,84,44,46,32,20,75,46
42,84,23,73,64,79,41,52,24,56,73,12,69,82,58,68,39,62,15,100,44,23,40,85,28,20,32,8,25,73,0,45,53,0,22,35,45,9,26,35,22,0,0,49,0,4,89,89,52,50,34,15,72,46
43,84,24,65,71,76,39,58,23,59,66,12,70,90,48,72,47,69,0,0,37,14,16,72,49,29,34,13,29,76,0,42,51,0,24,33,48,10,24,33,82,0,0,63,0,4,89,88,46,49,32,19,74,49
43,82,25,66,59,82,36,62,13,64,63,14,67,88,44,73,59,38,22,0,39,45,20,68,0,18,35,9,24,79,0,56,51,13,24,30,48,9,29,29,59,0,0,48,37,2,88,87,50,50,32,19,72,46
37,70,21,59,66,71,33,56,18,57,63,14,61,75,51,63,56,53,21,98,36,32,11,68,0,7,31,12,26,70,25,54,59,0,24,30,46,9,26,30,18,0,0,15,0,3,82,85,52,45,23,18,69,49
36,72,23,59,72,68,33,55,18,67,62,13,60,76,58,67,61,14,25,23,34,33,8,62,0,20,32,7,24,70,0,56,51,20,25,32,50,8,24,34,28,0,0,44,29,2,93,81,49,48,28,22,73,47
38,73,28,65,74,72,41,51,21,75,72,15,67,79,51,86,63,36,19,0,74,57,16,69,59,22,30,7,22,75,0,51,56,15,37,34,50,9,21,46,81,11,2,43,0,2,85,88,50,58,18,26,72,34
34,73,37,67,64,73,56,52,25,94,76,14,60,72,49,92,65,31,21,56,83,31,43,56,40,21,30,7,26,80,0,28,48,4,36,36,54,8,27,37,78,0,0,34,0,2,87,83,44,69,14,17,60,56
39,71,25,66,61,75,39,58,23,60,68,12,63,89,57,60,56,0,12,0,41,73,35,64,45,23,32,5,27,65,14,41,50,12,21,29,42,9,27,45,24,0,0,76,0,2,80,81,52,49,38,22,63,34
38,68,22,71,66,70,44,52,19,61,58,11,65,79,58,57,55,0,10,54,28,41,29,69,50,22,29,10,25,61,0,42,58,0,21,29,39,8,23,41,12,0,0,40,14,1,75,80,55,45,20,21,59,46
37,67,22,61,59,70,96,49,18,60,56,11,57,77,56,62,40,39,30,52,30,59,13,72,39,28,29,8,25,60,0,67,47,0,19,27,39,8,23,41,16,0,0,78,0,2,77,79,55,46,35,25,60,42
37,64,21,65,65,65,100,49,22,60,54,13,59,73,46,59,48,15,13,17,26,73,28,65,41,34,30,10,24,60,0,70,46,11,19,25,38,8,23,42,15,0,0,52,0,1,73,78,52,43,29,23,60,51
36,67,23,59,64,72,96,48,16,58,54,12,56,71,64,59,47,0,11,0,23,36,0,68,0,15,31,4,23,62,0,59,42,7,19,27,40,8,24,53,29,0,0,48,0,3,74,78,43,47,53,20,57,49
38,72,25,64,63,70,58,49,14,63,56,13,63,77,41,59,48,0,11,40,30,15,16,61,0,26,33,7,26,66,14,46,46,6,20,27,42,9,29,100,26,0,0,62,0,6,74,77,44,46,28,17,59,51
43,75,26,61,72,72,43,54,21,65,55,13,69,82,46,64,40,0,8,0,31,38,37,60,55,28,35,5,28,67,15,24,37,7,21,32,43,9,26,79,92,0,0,57,0,7,79,78,45,51,38,22,62,39
40,70,26,52,73,68,40,54,16,69,58,13,63,81,50,69,47,0,0,0,33,23,29,66,30,27,33,6,27,69,0,26,42,4,21,28,44,10,27,35,98,0,0,45,0,2,78,77,41,51,20,16,60,53
36,65,24,58,64,66,71,55,20,69,55,14,59,77,56,59,44,33,7,36,30,21,13,60,40,20,31,7,24,62,17,38,41,0,21,26,44,10,26,31,16,0,0,75,11,3,77,74,43,47,24,22,59,42
